Entity,Code,Year,Diphtheria cases,Diphtheria deaths
United States,USA,1937,28356,2615
United States,USA,1938,20508,2560
United States,USA,1939,24053,2022
United States,USA,1940,15536,1457
United States,USA,1941,17987,
United States,USA,1942,16260,
United States,USA,1943,14811,1196
United States,USA,1944,14150,1145
United States,USA,1945,18675,1598
United States,USA,1946,16354,1259
United States,USA,1947,12262,799
United States,USA,1948,9493,634
United States,USA,1949,7969,574
United States,USA,1950,5796,410
United States,USA,1951,3983,302
United States,USA,1952,2960,217
United States,USA,1953,2355,156
United States,USA,1954,2041,145
United States,USA,1955,1984,150
United States,USA,1956,1568,103
United States,USA,1957,1211,81
United States,USA,1958,918,74
United States,USA,1959,934,72
United States,USA,1960,918,69
United States,USA,1961,617,68
United States,USA,1962,444,41
United States,USA,1963,314,45
United States,USA,1964,293,42
United States,USA,1965,164,18
United States,USA,1966,209,20
United States,USA,1967,219,32
United States,USA,1968,260,30
United States,USA,1969,241,25
United States,USA,1970,435,30
United States,USA,1971,215,13
United States,USA,1972,152,10
United States,USA,1973,228,10
United States,USA,1974,272,5
United States,USA,1975,307,5
United States,USA,1976,128,7
United States,USA,1977,84,5
United States,USA,1978,76,4
United States,USA,1979,59,1
United States,USA,1980,3,1
United States,USA,1981,5,0
United States,USA,1982,2,1
United States,USA,1983,5,0
United States,USA,1984,1,0
United States,USA,1985,3,0
United States,USA,1986,,0
United States,USA,1987,3,1
United States,USA,1988,2,0
United States,USA,1989,3,0
United States,USA,1990,4,1
United States,USA,1991,5,0
United States,USA,1992,4,1
United States,USA,1993,0,0
United States,USA,1994,2,0
United States,USA,1995,0,1
United States,USA,1996,2,0
United States,USA,1997,4,0
United States,USA,1998,1,1
United States,USA,1999,1,1
United States,USA,2000,1,0
United States,USA,2001,2,0
United States,USA,2002,1,0
United States,USA,2003,1,1
United States,USA,2004,0,0
United States,USA,2005,0,0
United States,USA,2006,0,0
United States,USA,2007,0,1
United States,USA,2008,0,0
United States,USA,2009,0,0
United States,USA,2010,0,0
United States,USA,2011,0,0
United States,USA,2012,1,0
United States,USA,2013,0,0
United States,USA,2014,1,0
United States,USA,2015,0,0
United States,USA,2016,0,0
United States,USA,2017,0,0
United States,USA,2018,1,1
United States,USA,2019,2,0
United States,USA,2020,1,0
United States,USA,2021,0,0
United States,USA,2022,1,0
