Entity,Code,Year,Polio death rate,Polio case rate
United States,USA,1910,1.0537771,6.5012503
United States,USA,1911,0.48042348,2.108404
United States,USA,1913,0.44677275,2.0523956
United States,USA,1914,0.3443806,1.2770344
United States,USA,1915,0.7134427,1.68707
United States,USA,1916,7.2612085,27.866543
United States,USA,1917,1.1873406,4.1004434
United States,USA,1918,0.95077634,2.4690473
United States,USA,1919,0.72935504,1.886364
United States,USA,1920,0.74014777,2.237768
United States,USA,1921,1.5150735,5.944553
United States,USA,1922,0.73867965,2.0776534
United States,USA,1923,0.78327143,3.0096054
United States,USA,1924,0.97989404,4.7214727
United States,USA,1925,1.3353368,5.303757
United States,USA,1926,0.7506126,2.229787
United States,USA,1927,1.7498242,9.155935
United States,USA,1928,1.183065,4.3801675
United States,USA,1929,0.68661237,2.3989153
United States,USA,1930,1.1451999,7.6803627
United States,USA,1931,1.7346549,13.067843
United States,USA,1932,0.6794595,3.1002393
United States,USA,1933,0.64945763,4.0605364
United States,USA,1934,0.6894319,6.084317
United States,USA,1935,0.8356884,8.709641
United States,USA,1936,0.6223933,3.6090832
United States,USA,1937,1.1354703,7.5362577
United States,USA,1938,0.3761116,1.3470775
United States,USA,1939,0.5898873,5.7295537
United States,USA,1940,0.7757846,7.5924897
United States,USA,1941,,6.942999
United States,USA,1942,0.42336822,3.0435722
United States,USA,1943,0.85671324,9.266049
United States,USA,1944,0.99913234,13.9695
United States,USA,1945,0.8587254,9.860862
United States,USA,1946,1.317561,17.989529
United States,USA,1947,0.40851417,7.5603294
United States,USA,1948,1.4866121,19.228703
United States,USA,1949,1.8623565,28.77957
United States,USA,1950,1.2347386,21.5969
United States,USA,1951,0.9911726,18.140184
United States,USA,1952,1.9805506,36.44906
United States,USA,1953,0.89968055,22.083744
United States,USA,1954,0.8360003,23.51312
United States,USA,1955,0.62755704,17.439829
United States,USA,1956,0.33525848,8.967868
United States,USA,1957,0.12886354,3.198265
United States,USA,1958,0.1463706,3.3217518
United States,USA,1959,0.2562861,4.75597
United States,USA,1960,0.12758318,1.7695231
United States,USA,1961,0.04904913,0.5384505
United States,USA,1962,0.032132942,0.40808836
United States,USA,1963,0.021598816,0.20861295
United States,USA,1964,0.008816537,0.054973707
United States,USA,1965,0.008177711,0.031177523
United States,USA,1966,0.00453937,0.05346369
United States,USA,1967,0.007972101,0.019930253
United States,USA,1968,0.011822019,0.026106957
United States,USA,1969,0.006332196,0.008767656
United States,USA,1970,0.003368683,0.014918453
United States,USA,1971,0.008554059,0.008078833
United States,USA,1972,0.00093966164,0.013625094
United States,USA,1973,0.004651021,0.003255715
United States,USA,1974,0.0013820014,0.00322467
United States,USA,1975,0.004107164,0.0036508127
United States,USA,1976,0.007234295,0.0054257214
United States,USA,1977,0.007166551,0.0076144603
United States,USA,1978,0.0057676244,0.0039929706
United States,USA,1979,0.0017576617,0.011424801
United States,USA,1980,0.0026102997,0.0034803997
United States,USA,1981,0,0.0025839615
United States,USA,1982,0,0.0034103044
United States,USA,1983,0,0.006329478
United States,USA,1984,0,0.0033423302
United States,USA,1985,0.0012412572,0.0028962668
United States,USA,1986,0,0.003689223
United States,USA,1987,0,0.0036561394
United States,USA,1988,0.00040258747,0.003623287
United States,USA,1989,0,0.0035903056
United States,USA,1990,0,0.0023680467
United States,USA,1991,0.00038990699,0.003509163
United States,USA,1992,0,0.0023111945
United States,USA,1993,0,0.0011422774
United States,USA,1994,0,0.0030134686
United States,USA,1995,0.000372848,0.002609936
United States,USA,1996,0,0.0025843543
United States,USA,1997,0,0.002194041
United States,USA,1998,0,0.0010864869
United States,USA,1999,0,0.0007173975
United States,USA,2000,0,0
United States,USA,2001,0,0
United States,USA,2002,0,0
United States,USA,2003,0,0
United States,USA,2004,0,0
United States,USA,2005,0,0
United States,USA,2006,0,0
United States,USA,2007,0,0
United States,USA,2008,0,0
United States,USA,2009,0,0.0003246506
United States,USA,2010,0,0
United States,USA,2011,0,0
United States,USA,2012,0,0
United States,USA,2013,0,0.00031239187
United States,USA,2014,0,0
United States,USA,2015,0,0
United States,USA,2016,0,0
United States,USA,2017,0,0
United States,USA,2018,0,0
United States,USA,2019,0,0
United States,USA,2020,0,0
United States,USA,2021,0,0
United States,USA,2022,0,0.00029279658
United States,USA,2023,0,
